# A b Om H0
1.266469250088925413e+00 2.681300688439828050e+01 2.586052891471493642e-01 7.042596130037411228e+01
1.309668623452819203e+00 2.641026838824744161e+01 2.742561761381829832e-01 7.023512833363682262e+01
1.567719553621022888e+00 2.878087173594956383e+01 2.670208890622474129e-01 7.022721973996900147e+01
1.632005722294970429e+00 2.757616893567674765e+01 2.673066432586492791e-01 6.982330928164731176e+01
1.234357548219257472e+00 2.731501012824591612e+01 2.750669731695296050e-01 7.058717710338649454e+01
1.264945598088066836e+00 2.614028326822281656e+01 2.750615062909304021e-01 7.029974590122270683e+01
1.509534713828142305e+00 2.730313034220844060e+01 2.669339191431228109e-01 7.004175509371192732e+01
1.358273595289736901e+00 2.663031214695382687e+01 2.670181493671733852e-01 7.017256082433226538e+01
1.339183084734552054e+00 2.612698755093071412e+01 2.706895119585728260e-01 7.039724767564604235e+01
1.502297579127489291e+00 2.840420500237181400e+01 2.780761823950903544e-01 6.988729308126526973e+01
1.303142795238827034e+00 2.687534354908626710e+01 2.737688953561906446e-01 7.043779941783112974e+01
1.371357264826227773e+00 2.644328126795955214e+01 2.715460862015919852e-01 7.027292665273044747e+01
1.524647197090453155e+00 2.637867687831091601e+01 2.817836294839880518e-01 7.003823631423763629e+01
1.707451962109617138e+00 2.741480561376850389e+01 2.612650353130093750e-01 6.955300980515042397e+01
1.289605333602684922e+00 2.644158859309843024e+01 2.647022754715340209e-01 7.016181781628594649e+01
1.555524248003957499e+00 2.716519960396540512e+01 2.640739312956533191e-01 7.017402259544324750e+01
1.266469250088925413e+00 2.681300688439828050e+01 2.586052891471493642e-01 7.042596130037411228e+01
1.330568418825252897e+00 2.653643681527348264e+01 2.738798322915312888e-01 7.020493149590066650e+01
1.567719553621022888e+00 2.878087173594956383e+01 2.670208890622474129e-01 7.022721973996900147e+01
1.628292778010564046e+00 2.756273913256282171e+01 2.673866937042140290e-01 6.982805295279402458e+01
1.234357548219257472e+00 2.731501012824591612e+01 2.750669731695296050e-01 7.058717710338649454e+01
1.264945598088066836e+00 2.614028326822281656e+01 2.750615062909304021e-01 7.029974590122270683e+01
1.509534713828142305e+00 2.730313034220844060e+01 2.669339191431228109e-01 7.004175509371192732e+01
